,sido_name,gugun_name,sido_code,gugun_code,addr,doro_address,s_code,s_name,open_dt,lat,lot,s_biz_code,store_area_code,out_distance,defaultimage
1388,경기,용인시 수지구,08,0842,경기도 용인시 수지구 죽전동 1191-2 1~2층,경기도 용인시 수지구 현암로 140 (죽전동),814,죽전,20140731,37.331506,127.12479,9997,A08,106.27,http://image.istarbucks.co.kr/upload/store/2015/07/[9997]_20150730111419615.jpg
1389,경기,용인시 수지구,08,0842,경기도 용인시 수지구 동천동 946-2 1~3층,경기도 용인시 수지구 손곡로 ,841,수지동천,20141015,37.335988,127.09101,3022,A08,103.64,http://image.istarbucks.co.kr/upload/store/2022/05/[3022]_20220523010527_fkakj.jpg
1390,경기,용인시 수지구,08,0842,경기도 용인시 수지구 죽전동 1335-1,경기도 용인시 수지구 죽전로168번길 18 (죽전동),1464,죽전단국대,20190131,37.3244016,127.12494279999999,3619,A08,106.01,http://image.istarbucks.co.kr/upload/store/2019/01/[3619]_20190130053056_tqra4.JPG
1391,경기,용인시 수지구,08,0842,경기도 용인시 수지구 죽전동 887 죽전 효성해링턴 플레이스,"경기도 용인시 수지구 용구대로 2750 (죽전동, 죽전 효성해링턴 플레이스)",1503,용인죽전역R,20190531,37.3313521,127.1091828,3686,A08,104.96,http://image.istarbucks.co.kr/upload/store/2021/04/[3686]_20210413115506_gcakd.jpg
1392,경기,용인시 처인구,08,0825,경기도 용인시 처인구 모현읍 왕산리 734-2,경기도 용인시 처인구 모현읍 백옥대로 2529 ,2118,용인모현DT,20230407,37.349187,127.249321,4204,A08,117.3,http://image.istarbucks.co.kr/upload/store/2023/04/[4204]_20230406014156_7knra.jpg
1393,경기,용인시 처인구,08,0825,경기도 용인시 처인구 역북동 504-13,경기도 용인시 처인구 명지로 41 (역북동),1960,용인역북,20220414,37.232254,127.188747,4121,A08,108.52,http://image.istarbucks.co.kr/upload/store/2022/04/[4121]_20220413103902_e7pmo.jpg
1394,경기,용인시 처인구,08,0825,경기도 용인시 처인구 마평동 637-2,경기도 용인시 처인구 금령로 188 (마평동),1759,용인마평DT,20210127,37.2336627,127.2168107,3842,A08,110.98,http://image.istarbucks.co.kr/upload/store/2021/03/[3842]_20210329025449_07ejz.jpg
1395,경기,용인시 처인구,08,0825,경기도 용인시 처인구 남사읍 아곡리 700-1,경기도 용인시 처인구 남사읍 처인성로 729 ,2089,용인한숲시티,20230217,37.152464,127.173575,4273,A08,105.48,http://image.istarbucks.co.kr/upload/store/2023/02/[4273]_20230216114658_cr3hw.jpg
1396,경기,용인시 처인구,08,0825,경기도 용인시 처인구 김량장동 295-10,경기도 용인시 처인구 금령로 60 (김량장동),638,용인처인구청,20130712,37.234764,127.202928,9834,A08,109.81,http://image.istarbucks.co.kr/upload/store/2021/02/[9834]_20210223035216_kz7tr.jpg
1397,경기,용인시 처인구,08,0825,"경기도 용인시 처인구 삼가동 197-4, 197-7, 264-6",경기도 용인시 처인구 중부대로 1130,1071,용인시청DT,20160720,37.24029,127.170935,3248,A08,107.2,http://image.istarbucks.co.kr/upload/store/2021/03/[3248]_20210311020812_07uz9.jpg
1398,경기,용인시 처인구,08,0825,경기도 용인시 처인구 포곡읍 전대리 310 삼성에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로 199 ,1514,용인에버랜드,20190716,37.294803,127.203274,3738,A08,111.57,http://image.istarbucks.co.kr/upload/store/2023/01/[3738]_20230116094734_6omxl.jpg
1399,경기,용인시 처인구,08,0825,경기도 용인시 처인구 김량장동 177-1,경기도 용인시 처인구 백옥대로 1174 (김량장동),1531,용인김량장DT,20190918,37.239832,127.2104973,3687,A08,110.59,http://image.istarbucks.co.kr/upload/store/2019/11/[3687]_20191106020309_iyxpw.jpg
